student_id,school_year_id,course_id,section,score,grade_note,transcript_credit,gpa_credit,is_included_in_transcript
700000001,2018,56301,0,84,,1,1,1
700000001,2018,56312,0,84,,1,1,1
700000001,2018,56320,0,94,,1,1,1
700000001,2018,56543,0,94,,1,1,1
700000001,2019,54742,2,87,,1,1,1
700000001,2019,54754,2,88,,1,1,1
700000001,2019,54885,3,71,,1,1,1
700000001,2019,55005,2,70,,1,1,1
700000001,2019,55167,3,68,,1,1,1
700000001,2019,55205,1,75,,1,1,1
700000001,2019,55714,2,74,,1,1,1
700000001,2019,55745,2,81,,0.5,0.5,1
700000001,2019,56013,2,69,,0.5,0.5,1