student_id,school_year_id,course_id,section,score,grade_note,transcript_credit,gpa_credit,is_included_in_transcript,
700000001,2019,06101,0,94,,1,1,1,
700000001,2019,02052CC,0,94,,1,1,1,
700000001,2020,03001,0,84,,1,1,1,
700000001,2020,01001,0,84,,1,1,1,
700000001,2020,04052,0,94,,1,1,1,
700000001,2020,06102,2,87,,1,1,1,
700000001,2020,02072CC,2,88,,1,1,1,
700000001,2020,05102,3,71,,1,1,1,
700000001,2020,10019,2,70,,1,1,1,
700000001,2020,08001,3,68,,0.5,0.5,1,
700000001,2021,01002,1,75,,1,1,1,
700000001,2021,02056CC,2,74,,1,1,1,
700000001,2021,04057,2,81,,1,1,1,
700000001,2021,03051,2,69,,1,1,1,
700000001,2021,08051,2,69,,0.5,0.5,1,
700000001,2021,06103,2,69,,1,1,1,
700000001,2021,10157,2,69,,1,1,1,
700000001,2021,05102,3,71,,0.5,0.5,1,
700000001,2021,08001,3,68,,0.5,0.5,1,
700000001,2022,01005,3,68,,1,1,1,
700000001,2022,08001,3,68,,0.5,0.5,1,
700000001,2022,21004,3,68,,1,1,1,
700000001,2022,02110,3,68,,1,1,1,
700000001,2022,02203,3,68,,1,1,1,
700000001,2022,03101,3,68,,1,1,1,
700000001,2022,04104,3,68,,1,1,1,
700000001,2023,06104,3,68,,1,1,1,
700000001,2023,02124,3,68,,1,1,1,
700000001,2023,03165,3,68,,1,1,1,
700000001,2023,03106,3,68,,1,1,1,
700000001,2023,04201,3,68,,0.5,0.5,1,
700000001,2023,04151,3,68,,0.5,0.5,1,
700000001,2023,08001,3,68,,0.5,0.5,1,
700000001,2023,06105,3,68,,1,1,1,
700000001,2023,01006,3,68,,1,1,1,
700000001,2023,21007,3,68,,1,1,1,